
#### alpha = 0 (Kida) closed (1,2) rods with R_max = 1: 3 found  [197s] ####
  lamODE=-1.23930 beta=+0.76876 L=17.4244 l2=0.7188 l3=1.2393 c=0.8903 C=0.4166 tau0=0.2900 p2=+2.5371 p1=1.5068 p0=-0.6943 roots=[-0.7438  0.3147  2.9661] closure=1e-10  (q1-kmin^2=+7.5e-12, q2-kmax^2=+7.3e-05)
      d=0,e3=1/2,e0=-1/2                 k=+0.4312 iota0-N=+1.1958 eta^2=0.9662 j=+3.5086  sign(j)=sign(k): True
      d=0,e3=1/2,e0=-1/2                 k=-0.4312 iota0-N=-1.1958 eta^2=2.8985 j=-0.3962  sign(j)=sign(k): True
      d=1,e3=0,e0=-1                     k=+0.7505 iota0-N=+2.0813 eta^2=1.1102 j=+4.7717  sign(j)=sign(k): True
      d=1,e3=0,e0=-1                     k=-0.7505 iota0-N=-2.0813 eta^2=2.2205 j=-1.5159  sign(j)=sign(k): True
      d=1,e3=0,e0=-3/2                   k=+0.8714 iota0-N=+2.4166 eta^2=1.4344 j=+5.9903  sign(j)=sign(k): True
      d=1,e3=0,e0=-3/2                   k=-0.8714 iota0-N=-2.4166 eta^2=2.3906 j=-2.6662  sign(j)=sign(k): True
      d=1,e3=1/2,e0=-3/2                 k=+1.0972 iota0-N=+3.0428 eta^2=1.1391 j=+6.1354  sign(j)=sign(k): True
      d=1,e3=1/2,e0=-3/2                 k=-1.0972 iota0-N=-3.0428 eta^2=1.8986 j=-2.7533  sign(j)=sign(k): True
      d=1,e3=1/2,e0=-2                   k=+1.3787 iota0-N=+3.8234 eta^2=1.2088 j=+7.4853  sign(j)=sign(k): True
      d=1,e3=1/2,e0=-2                   k=-1.3787 iota0-N=-3.8234 eta^2=1.8132 j=-4.0236  sign(j)=sign(k): True
      d=2, e3=0, m=0 (e0=-2)#f1(deg3)    k=+0.7505 iota0-N=+2.0813 eta^2=1.1102 j=+4.7717  sign(j)=sign(k): True
      d=2, e3=0, m=0 (e0=-2)#f1(deg3)    k=-0.7505 iota0-N=-2.0813 eta^2=2.2205 j=-1.5159  sign(j)=sign(k): True
      d=2, e3=0, m=0 (e0=-2)#f2(deg6)    k=+1.4749 iota0-N=+4.0901 eta^2=1.1299 j=+7.5475  sign(j)=sign(k): True
      d=2, e3=0, m=0 (e0=-2)#f2(deg6)    k=-1.4749 iota0-N=-4.0901 eta^2=1.6949 j=-4.0650  sign(j)=sign(k): True
      d=2, e3=0, m=-1/2 (e0=-5/2)#f1(deg3) k=+0.8714 iota0-N=+2.4166 eta^2=1.4344 j=+5.9903  sign(j)=sign(k): True
      d=2, e3=0, m=-1/2 (e0=-5/2)#f1(deg3) k=-0.8714 iota0-N=-2.4166 eta^2=2.3906 j=-2.6662  sign(j)=sign(k): True
      d=2, e3=0, m=-1/2 (e0=-5/2)#f2(deg6) k=+1.8356 iota0-N=+5.0906 eta^2=1.1348 j=+8.9577  sign(j)=sign(k): True
      d=2, e3=0, m=-1/2 (e0=-5/2)#f2(deg6) k=-1.8356 iota0-N=-5.0906 eta^2=1.5888 j=-5.4041  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f0(deg1) k=+0.4312 iota0-N=+1.1958 eta^2=0.9662 j=+3.5086  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f0(deg1) k=-0.4312 iota0-N=-1.1958 eta^2=2.8985 j=-0.3962  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f1(deg3) k=+1.0972 iota0-N=+3.0428 eta^2=1.1391 j=+6.1354  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f1(deg3) k=-1.0972 iota0-N=-3.0428 eta^2=1.8986 j=-2.7533  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f2(deg6) k=+1.8769 iota0-N=+5.2049 eta^2=1.1099 j=+8.9842  sign(j)=sign(k): True
      d=2, e3=1/2, m=0 (e0=-5/2)#f2(deg6) k=-1.8769 iota0-N=-5.2049 eta^2=1.5539 j=-5.4231  sign(j)=sign(k): True
      => 24 points, all with sign j = sign k: True, min|j| = 0.396
  lamODE=+1.23930 beta=-0.76876 L=17.4244 l2=0.7188 l3=-1.2393 c=-0.8903 C=-0.4166 tau0=-0.2900 p2=+2.5371 p1=1.5068 p0=-0.6943 roots=[-0.7438  0.3147  2.9661] closure=1e-10  (q1-kmin^2=+7.5e-12, q2-kmax^2=+7.3e-05)
      d=0,e3=1/2,e0=-1/2                 k=+0.4312 iota0-N=+1.1958 eta^2=2.8985 j=+0.3962  sign(j)=sign(k): True
      d=0,e3=1/2,e0=-1/2                 k=-0.4312 iota0-N=-1.1958 eta^2=0.9662 j=-3.5086  sign(j)=sign(k): True
      d=1,e3=0,e0=-1                     k=+0.7505 iota0-N=+2.0813 eta^2=2.2205 j=+1.5159  sign(j)=sign(k): True
      d=1,e3=0,e0=-1                     k=-0.7505 iota0-N=-2.0813 eta^2=1.1102 j=-4.7717  sign(j)=sign(k): True
      d=1,e3=0,e0=-3/2                   k=+0.8714 iota0-N=+2.4166 eta^2=2.3906 j=+2.6662  sign(j)=sign(k): True
      d=1,e3=0,e0=-3/2                   k=-0.8714 iota0-N=-2.4166 eta^2=1.4344 j=-5.9903  sign(j)=sign(k): True
